company,valuation_b,industry,country,year_founded,year_joined,years_to_unicorn
Bytedance,180,Artificial intelligence,China,2012,2017,5
SpaceX,100,Other,United States,2002,2012,10
SHEIN,100,E-commerce & direct-to-consumer,China,2008,2018,10
Stripe,95,Fintech,United States,2010,2014,4
Klarna,46,Fintech,Sweden,2005,2011,6
Canva,40,Internet software & services,Australia,2012,2018,6
Checkout.com,40,Fintech,United Kingdom,2012,2019,7
Instacart,39,"Supply chain, logistics, & delivery",United States,2012,2014,2
JUUL Labs,38,Consumer & retail,United States,2015,2017,2
Databricks,38,Data management & analytics,United States,2013,2019,6
Revolut,33,Fintech,United Kingdom,2015,2018,3
Epic Games,32,Other,United States,1991,2018,27
FTX,32,Fintech,Bahamas,2018,2021,3
Fanatics,27,E-commerce & direct-to-consumer,United States,2002,2012,10
Chime,25,Fintech,United States,2013,2019,6
BYJU's,22,Edtech,India,2008,2017,9
J&T Express,20,"Supply chain, logistics, & delivery",Indonesia,2015,2021,6
Xiaohongshu,20,E-commerce & direct-to-consumer,China,2013,2016,3
Miro,18,Internet software & services,United States,2011,2022,11
Yuanfudao,17,Edtech,China,2012,2017,5
