company,industry,country,valuation_b,funding_b,valuation_per_b_raised,years_to_unicorn
Zapier,Internet software & services,United States,4,0.001,4000.0,10
Dunamu,Fintech,South Korea,9,0.071,126.8,9
Workhuman,Internet software & services,Ireland,1,0.009,111.1,21
CFGI,Fintech,United States,2,0.019,105.3,21
Manner,Other,China,1,0.01,100.0,5
DJI Innovations,Hardware,China,8,0.105,76.2,9
GalaxySpace,Mobile & telecommunications,China,1,0.014,71.4,4
Canva,Internet software & services,Australia,40,0.572,69.9,6
Il Makiage,E-commerce & direct-to-consumer,United States,2,0.029,69.0,4
Revolution Precrafted,Other,Philippines,1,0.015,66.7,2
Injective Protocol,Fintech,United States,1,0.017,58.8,3
Upstox,Fintech,India,3,0.054,55.6,11
SHEIN,E-commerce & direct-to-consumer,China,100,2.0,50.0,10
Stripe,Fintech,United States,95,2.0,47.5,4
Boba,Fintech,United States,2,0.045,44.4,4
Games24x7,Internet software & services,India,3,0.075,40.0,16
Miro,Internet software & services,United States,18,0.476,37.8,11
Clubhouse,Mobile & telecommunications,United States,4,0.11,36.4,1
Ripple,Fintech,United States,10,0.294,34.0,7
Kraken,Fintech,United States,4,0.119,33.6,8
