industry,total_companies,high_value_count,high_value_pct,avg_valuation_b,max_valuation_b
Consumer & retail,25,3,12.0,4.24,38
Edtech,28,3,10.7,3.57,22
E-commerce & direct-to-consumer,111,8,7.2,3.84,100
Travel,14,1,7.1,3.29,10
"Supply chain, logistics, & delivery",57,4,7.0,3.11,39
Other,58,4,6.9,4.34,100
Fintech,224,15,6.7,3.94,95
Auto & transportation,31,2,6.5,3.19,11
Hardware,34,2,5.9,2.91,12
Internet software & services,205,12,5.9,2.9,40
Data management & analytics,41,2,4.9,3.32,38
Artificial intelligence,73,3,4.1,4.95,180
Health,74,2,2.7,2.68,13
Artificial Intelligence,11,0,0.0,1.45,3
Cybersecurity,50,0,0.0,2.58,9
Mobile & telecommunications,38,0,0.0,2.34,9
